"","date","ws","wd","rh","pres","solar","temp_mean","temp_max","temp_min","precip_sum","casos_total","poblacio_total","incidencia_1000","co","no","no2","nox","pm10","so2"
"1",2011-09-17,2.19142857142857,218.685714285714,67.0571428571429,1004.49142857143,263.685714285714,25.1571428571429,28.4,21.7,0,NA,NA,NA,NA,4.79,33.33,40.29,NA,NA
"2",2011-09-18,1.77708333333333,151.145833333333,77.125,1001.63541666667,78.0625,20.1895833333333,23.5,15.8,0.3,NA,NA,NA,NA,2.12,21.46,24.54,NA,NA
"3",2011-09-19,3.78125,218.8125,50.3958333333333,1007.48541666667,238.291666666667,18.70625,25.8,13.6,0,NA,NA,NA,NA,5.33,24.08,31.83,NA,NA
"4",2011-09-20,2.1625,234.145833333333,60.2291666666667,1010.68541666667,228,20.1854166666667,25.2,15.9,0,NA,NA,NA,NA,5.25,30.62,38.58,NA,NA
"5",2011-09-21,1.97916666666667,250.729166666667,69.4166666666667,1009.63333333333,233.875,21.0604166666667,26,15.7,0,NA,NA,NA,NA,8.37,39.21,52.53,NA,NA
"6",2011-09-22,1.68541666666667,226.708333333333,69.25,1008.32708333333,225.020833333333,22.3958333333333,27.6,18.2,0,NA,NA,NA,NA,13,43.12,62.88,NA,NA
"7",2011-09-23,1.83125,249.833333333333,71.7708333333333,1005.9,201.895833333333,22.00625,27,17.3,0,NA,NA,NA,NA,14.5,48.25,69.79,NA,NA
"8",2011-09-24,1.5125,157.916666666667,78.0625,1005.18958333333,57.5833333333333,19.88125,22.9,16.6,4.5,NA,NA,NA,NA,2.67,29.21,33,NA,NA
"9",2011-09-25,1.14583333333333,202.083333333333,69.0416666666667,1009.31875,225,20.3729166666667,26,15.5,0,NA,NA,NA,NA,3.62,33.29,39.46,NA,NA
"10",2011-09-26,1.20833333333333,216.208333333333,65.9375,1013.13958333333,216.875,21.425,27.5,16.5,0,NA,NA,NA,NA,22.92,59.62,94.79,NA,NA
"11",2011-09-27,1.11458333333333,193.770833333333,59.4791666666667,1014.56041666667,217.9375,22.5375,29.7,16.8,0,NA,NA,NA,NA,38,78.58,134.64,NA,NA
"12",2011-09-28,1.56041666666667,128.104166666667,53.6041666666667,1013.93541666667,214.958333333333,22.3791666666667,28,17.1,0,NA,NA,NA,NA,3.42,47.17,51.5,NA,NA
"13",2011-09-29,2.30208333333333,138.041666666667,59.1041666666667,1013.76041666667,205.9375,21.61875,27.9,16.1,0,NA,NA,NA,NA,4.58,43.67,50.25,NA,NA
"14",2011-09-30,2.10625,123.3125,63.3958333333333,1013.77916666667,203.625,21.1645833333333,26.1,15.5,0,NA,NA,NA,NA,5.38,43.33,51.21,NA,NA
"15",2011-10-01,1.91875,115.333333333333,70.2291666666667,1014.01041666667,202.1875,20.91875,26.2,15.5,0,NA,NA,NA,NA,2,24.5,27.67,NA,NA
