,date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_totals,poblacio_total,incidencia_1000,co,h2s,no,no2,nox,o3,pm10,pm2.5,so2
1,2011-09-17,247.647.058.823.529,199,704.705.882.352.941,101.007.058.823.529,292.470.588.235.294,25.8,27.3,24.5,0,NA,NA,NA,0.6,NA,21.46,51.54,83.92,39.62,33.38,NA,1.33
2,2011-09-18,2.125,140.25,780.833.333.333.333,1.007.275,731.666.666.666.667,213.458.333.333.333,24.4,18.5,37.9,NA,NA,NA,0.48,NA,13.79,37.88,58.46,38,22.5,NA,1.12
3,2011-09-19,276.666.666.666.667,209.833.333.333.333,523.333.333.333.333,101.325.416.666.667,225.708.333.333.333,196.916.666.666.667,24.3,15.3,0,NA,NA,NA,0.46,NA,35.75,52.17,106.46,34.08,25.62,NA,1.5
4,2011-09-20,186.666.666.666.667,209.458.333.333.333,605.416.666.666.667,101.641.666.666.667,229.375,21.275,23.4,18.2,0,NA,NA,NA,0.55,NA,35.83,61.75,116.38,35.92,31.33,NA,2.42
5,2011-09-21,192.083.333.333.333,245.541.666.666.667,67.5,10.152.875,228.416.666.666.667,228.208.333.333.333,26.1,19.2,0,NA,NA,NA,0.69,NA,29.46,67.54,112.21,32.42,34.21,NA,1.88
6,2011-09-22,173.333.333.333.333,211.708.333.333.333,709.583.333.333.333,101.399.583.333.333,222.041.666.666.667,234.958.333.333.333,27.1,20.5,0,NA,NA,NA,0.97,NA,46.88,70.58,141.71,30.75,37.04,NA,2.38
7,2011-09-23,181.666.666.666.667,208.25,725.833.333.333.333,1.011.575,213.916.666.666.667,233.041.666.666.667,25.6,20.6,0,NA,NA,NA,0.83,NA,48.17,76.12,149.38,24.12,41.5,NA,2.75
8,2011-09-24,160.416.666.666.667,177.291.666.666.667,761.666.666.666.667,101.080.833.333.333,539.166.666.666.667,215.041.666.666.667,23,19.3,9.4,NA,NA,NA,0.57,NA,19.54,54.83,84.33,42.33,20.71,NA,1
9,2011-09-25,125.833.333.333.333,120.666.666.666.667,700.833.333.333.333,101.504.166.666.667,223.166.666.666.667,215.125,23.8,18.7,0,NA,NA,NA,0.61,NA,22.75,59.79,94.08,35.67,25.62,NA,2.33
10,2011-09-26,122.916.666.666.667,141.791.666.666.667,692.083.333.333.333,101.887.916.666.667,216.625,224.125,24.5,19.4,0,NA,NA,NA,0.98,NA,72.46,91,201.58,22.08,36.92,NA,3.79
11,2011-09-27,112.916.666.666.667,139.416.666.666.667,63.625,102.030.416.666.667,216.125,236.125,26.9,19.9,0,NA,NA,NA,1.14,NA,89.25,109.54,245.75,26.79,47.33,NA,7.25
12,2011-09-28,156.666.666.666.667,817.083.333.333.333,594.166.666.666.667,101.966.666.666.667,211.958.333.333.333,234.291.666.666.667,26,20.9,0,NA,NA,NA,0.99,NA,49.62,106.33,181.96,39.12,44.12,NA,1.29
13,2011-09-29,2.375,60.5,58.75,101.946.666.666.667,206.25,232.125,26.2,20.6,0,NA,NA,NA,0.83,NA,35.74,91.52,145.57,48.96,50.74,NA,1
14,2011-09-30,212.083.333.333.333,799.166.666.666.667,667.916.666.666.667,10.195.125,199.583.333.333.333,223.125,24.3,20,0,NA,NA,NA,01.01,NA,46.96,93.5,165,48.21,58.12,NA,1
15,2011-10-01,190.416.666.666.667,650.416.666.666.667,696.666.666.666.667,10.197.375,192.916.666.666.667,220.791.666.666.667,24.4,19.5,0,NA,NA,NA,0.62,NA,19,63.62,92.29,55.12,45.92,NA,1
16,2011-10-02,1.5,186.958.333.333.333,645.833.333.333.333,1019.65,204.083.333.333.333,223.583.333.333.333,25.7,19.2,0,NA,NA,NA,0.51,NA,16.29,66.04,90.46,46.21,41.17,NA,2.38
17,2011-10-03,9.625,163.458.333.333.333,60.375,10.188.625,202.541.666.666.667,232.541.666.666.667,27,19.5,0,1517,703847,215.529.795.537.951,1.3,NA,126.12,134.42,327.04,14.83,68.46,NA,08.08
18,2011-10-04,120.416.666.666.667,172.291.666.666.667,51.625,101.913.333.333.333,198.875,238.583.333.333.333,27.9,19.4,0,1140,552973,206.158.347.695.095,1.23,NA,123.25,131.46,319.75,27.96,68.43,NA,4.42
19,2011-10-05,1.45,139.5,56.375,1.017.675,198.125,237.375,29.6,19.6,0,1132,592742,190.976.849.961.703,1.29,NA,102.25,122.17,278.17,33.17,67.33,NA,5.75
20,2011-10-06,1.3125,133.208.333.333.333,729.583.333.333.333,101.563.333.333.333,185.041.666.666.667,229.208.333.333.333,24.9,20.5,0,1088,565865,192.272.008.341.212,1.1,NA,45.38,95.79,164.42,39.38,49.75,NA,2.88
21,2011-10-07,1.975,186.208.333.333.333,653.333.333.333.333,101.336.666.666.667,99,210.541.666.666.667,22.1,19.2,0.2,914,479219,19.072.699.538.207,0.71,NA,40.83,69.25,131.21,24.75,43.46,NA,1.79
22,2011-10-08,222.083.333.333.333,144.833.333.333.333,519.583.333.333.333,101.610.416.666.667,191.583.333.333.333,188.875,22.3,15.1,0,217,145216,149.432.569.413.839,0.37,NA,24.79,54.12,91.33,32.04,27.12,NA,1.54
23,2011-10-09,214.166.666.666.667,217.666.666.666.667,535.833.333.333.333,101.816.666.666.667,197.375,195.916.666.666.667,21.8,15.7,0,107,71159,150.367.486.895.544,0.34,NA,16.54,47.42,72.21,35.17,27.33,NA,1.67
24,2011-10-10,173.333.333.333.333,207.166.666.666.667,495.833.333.333.333,10.194.375,192.458.333.333.333,237.166.666.666.667,29.5,19.1,0,1438,691942,207.820.886.721.719,0.86,NA,79.73,81.86,203.14,16.45,50.38,NA,3.43
25,2011-10-11,104.583.333.333.333,225.958.333.333.333,500.416.666.666.667,101.790.833.333.333,187.75,243.041.666.666.667,28.7,20,0,1141,559525,203.922.970.376.659,1.35,NA,175.25,107.33,375,13.21,69.38,NA,7.92
26,2011-10-12,958.333.333.333.333,171.333.333.333.333,526.666.666.666.667,101.584.166.666.667,189.041.666.666.667,241.208.333.333.333,29.5,20,0,156,124508,125.293.153.853.568,1.44,NA,163.5,107.96,357.46,21.92,67.83,NA,9.42
27,2011-10-13,1.5125,108.083.333.333.333,702.083.333.333.333,101.509.583.333.333,173.083.333.333.333,224.708.333.333.333,25.1,20.1,0,1208,613826,196.798.441.252.081,1.31,NA,103.21,95.46,252.96,19.17,49.92,NA,4.17
28,2011-10-14,2.025,85.375,55.625,101.634.583.333.333,176.708.333.333.333,212.625,23.5,19.2,0,1033,534007,193.443.157.112.173,0.74,NA,47.79,69.92,142.58,28.5,32.92,NA,1.25
29,2011-10-15,212.083.333.333.333,770.416.666.666.667,604.166.666.666.667,101.949.166.666.667,143.958.333.333.333,197.166.666.666.667,21.5,18.3,0,243,153439,158.369.123.886.365,0.46,NA,22.75,55.25,89.92,41.38,33.33,NA,1
30,2011-10-16,1.4875,219.125,593.333.333.333.333,10.196.375,147.333.333.333.333,203.458.333.333.333,22.3,18.3,0,133,97024,137.079.485.488.127,0.39,NA,12.92,53.96,73.29,47.25,36.38,NA,1.12
31,2011-10-17,155.833.333.333.333,199.625,66.875,101.871.666.666.667,145.291.666.666.667,204.625,22.3,18.5,0,1427,688283,207.327.509.178.637,0.81,NA,31.83,73.54,121.83,34.96,38.42,NA,2.29
32,2011-10-18,224.583.333.333.333,274.125,594.166.666.666.667,10.164.875,170.541.666.666.667,209.708.333.333.333,24.8,18.2,0,1168,612724,1.906.241.635.712,0.59,NA,22.75,66.58,100.79,42.58,32.88,NA,1.17
33,2011-10-19,2.5375,237.416.666.666.667,673.333.333.333.333,101.435.833.333.333,151.041.666.666.667,204.041.666.666.667,23.7,15.7,0,923,480383,192.138.356.269.893,0.59,NA,24.08,63.88,100.12,45.08,39.73,NA,01.04
34,2011-10-20,171.666.666.666.667,159.958.333.333.333,58.375,101.755.833.333.333,113.541.666.666.667,16.775,19.2,14.1,0,1049,563991,185.995.875.820.713,0.62,NA,50.62,62.75,139.96,22.75,34.96,NA,1.29
35,2011-10-21,153.333.333.333.333,120.333.333.333.333,58,101.725.416.666.667,617.083.333.333.333,158.958.333.333.333,17,14.4,0,976,497717,196.095.371.466.114,0.58,NA,47,68.12,139.54,20.88,37.46,NA,1.58
36,2011-10-22,165.833.333.333.333,102.291.666.666.667,71.5,101.453.333.333.333,123.416.666.666.667,176.125,20.2,15.1,0,211,144707,145.811.881.940.749,0.5,NA,22.67,58.17,92.25,34.04,27,NA,1
37,2011-10-23,1.0875,195.833.333.333.333,768.333.333.333.333,10.103.125,590.416.666.666.667,17.75,19.4,16.5,0.6,87,61648,141.123.799.636.647,0.56,NA,20.25,64.92,95.33,22.33,22.25,NA,01.04
38,2011-10-24,1.4875,143.75,864.583.333.333.333,999.604.166.666.667,681.666.666.666.667,174.291.666.666.667,20.3,16.1,52.1,1348,669851,201.238.782.953.224,0.95,NA,76.71,88.17,205.21,13.67,30.75,NA,1.5
39,2011-10-25,327.083.333.333.333,295.541.666.666.667,552.083.333.333.333,100.110.416.666.667,167.375,177.291.666.666.667,21,16.1,0.1,1080,543482,198.718.632.815.806,0.48,NA,36.21,57.33,112.38,23.75,22.08,NA,1
40,2011-10-26,154.166.666.666.667,240.208.333.333.333,46,100.962.083.333.333,153.708.333.333.333,17.45,20.4,13.5,0,1064,572137,185.969.444.381.328,0.63,NA,63.04,76.83,172.88,22,28.42,NA,1.54
41,2011-10-27,1.4125,124,780.833.333.333.333,100.602.916.666.667,276.666.666.666.667,186.791.666.666.667,21.1,16.5,11.6,894,499889,178.839.702.413.936,1.44,NA,138.54,107.25,319.12,5.38,48.67,NA,3.54
42,2011-10-28,192.916.666.666.667,619.166.666.666.667,84.5,10.133.375,537.916.666.666.667,179.875,19.8,16,29.9,834,447345,186.433.289.742.816,0.95,NA,75.08,80.88,195.12,9.83,28.96,NA,1
43,2011-10-29,2.3125,550.416.666.666.667,78.75,101.755.416.666.667,71.75,189.458.333.333.333,21.5,17.5,0,242,150717,16.056.582.867.228,0.61,NA,33.67,58,109.12,19.71,29.54,NA,1
44,2011-10-30,114.166.666.666.667,174.458.333.333.333,73.25,101.716.666.666.667,134.25,187.708.333.333.333,22.4,16.6,0,157,98177,159.915.255.100.482,0.53,NA,40.25,55.21,116.21,17.58,27.08,NA,1.29
45,2011-10-31,102.916.666.666.667,170.666.666.666.667,785.833.333.333.333,101.403.333.333.333,106.125,181.041.666.666.667,20.5,15.1,0,943,454778,207.353.917.735.686,0.72,NA,79.67,70.71,191.96,12.04,40.58,NA,3.88
46,2011-11-01,114.583.333.333.333,195.541.666.666.667,82,10.124.875,788.333.333.333.333,194.083.333.333.333,21.8,17.4,0,128,94454,135.515.700.764.393,0.74,NA,53.08,69.5,150.17,19.42,34.12,NA,1.54
47,2011-11-02,212.083.333.333.333,213.333.333.333.333,818.333.333.333.333,10.092.375,119.083.333.333.333,199.625,21.9,17.8,23.6,1290,668601,192.940.184.055.962,0.89,NA,46.96,68.67,140.46,17.12,38.78,NA,1.21
48,2011-11-03,217.916.666.666.667,188.958.333.333.333,81.875,1000.25,48.75,203.458.333.333.333,21.5,19.1,0,1014,554732,182.790.969.332.939,0.92,NA,70.75,79,187,10.78,51.25,NA,1.46
49,2011-11-04,2.0875,189.833.333.333.333,851.666.666.666.667,995.033.333.333.333,27.75,173.791.666.666.667,19,15.7,36.6,761,410428,185.416.199.674.486,0.65,NA,69.46,85.67,191.46,12.82,31.42,NA,1
50,2011-11-05,157.083.333.333.333,193.25,76.75,995.016.666.666.667,535.833.333.333.333,163.916.666.666.667,18.4,13.8,8.1,221,147266,150.068.583.379.735,0.47,NA,46.38,66.08,136.58,19.59,29.58,NA,1
51,2011-11-06,2.35,201.333.333.333.333,78.375,100.020.833.333.333,289.166.666.666.667,148.333.333.333.333,17.1,12.7,27.5,80,58231,137.383.867.699.335,0.47,NA,32,48.42,96.92,25.74,15.71,NA,1
52,2011-11-07,130.833.333.333.333,238.125,614.166.666.666.667,100.734.166.666.667,883.333.333.333.333,17.375,20.3,15.4,0,1306,689123,189.516.240.206.756,0.72,NA,53.33,68.62,149.71,12.17,27,NA,1.38
53,2011-11-08,1.1875,227.375,690.416.666.666.667,100.963.333.333.333,133.666.666.666.667,167.708.333.333.333,20.8,14.4,0,1063,569310,186.717.254.220.021,0.48,NA,45.45,55.3,124.4,10.95,23.43,NA,2.36
54,2011-11-09,115.416.666.666.667,234.833.333.333.333,698.333.333.333.333,101.365.833.333.333,127.625,169.708.333.333.333,20.4,14.5,0,956,513068,186.330.077.104.789,0.85,NA,75.75,79.5,195,7.64,35.54,NA,1.75
55,2011-11-10,113.333.333.333.333,216.375,740.833.333.333.333,101.333.333.333.333,115.875,170.208.333.333.333,20.2,14.3,0,943,503108,187.434.904.632.803,1.1,NA,96.42,91.5,238.54,10.67,41.38,NA,2.25
56,2011-11-11,1.0875,188.166.666.666.667,80.75,101.404.166.666.667,125,175.041.666.666.667,20.9,14.6,0,825,453083,18.208.584.299.124,1.17,NA,116.83,95.75,274.21,11.58,49.67,NA,3.25
57,2011-11-12,1.45,640.833.333.333.333,819.583.333.333.333,102.098.333.333.333,94,18.2,20.2,17,0,200,134662,14.851.999.821.776,0.93,NA,57.58,86.42,174.17,18.54,37.29,NA,1
58,2011-11-13,174.166.666.666.667,72,83.375,10.221.375,27.375,168.916.666.666.667,18.3,15.6,9,114,74944,152.113.578.138.343,0.58,NA,19.38,62.46,91.42,23.75,24.33,NA,1
59,2011-11-14,2,552.916.666.666.667,819.166.666.666.667,101.630.833.333.333,261.666.666.666.667,156.916.666.666.667,17.2,14.7,7,1342,700081,191.692.104.199.371,0.93,NA,60.58,86.46,178.58,17.42,34.42,NA,1.25
60,2011-11-15,2.7875,63.25,87.875,100.855.833.333.333,23.875,158.708.333.333.333,17.4,15.1,34.1,773,438859,176.138.577.538.572,0.6,NA,43.33,78.92,145.04,23.71,31.5,NA,1
61,2011-11-16,1.95,32.75,79.5,10.127.875,29.25,155.916.666.666.667,16.5,14.8,3.8,791,417682,189.378.522.416.575,0.78,NA,64.38,82.46,180.46,19.25,31.92,NA,1.29
62,2011-11-17,1.475,709.166.666.666.667,723.333.333.333.333,10.191.625,76,158.541.666.666.667,17.2,14.2,10.3,960,510763,187.954.100.042.485,0.9,NA,64.88,80.21,179.21,19.58,30.5,NA,1
63,2011-11-18,107.916.666.666.667,641.666.666.666.667,81.75,1016.7,62.5,147.916.666.666.667,16.9,13.5,0.8,894,430648,207.594.137.207.185,1.3,NA,106.75,94.08,256.92,7.71,44.78,NA,1.12
64,2011-11-19,1.5125,71.375,787.916.666.666.667,101.109.583.333.333,482.083.333.333.333,15.075,17,12.8,5.9,182,115720,157.276.183.892.153,0.77,NA,66.33,86,187.08,6.79,35.75,NA,1
65,2011-11-20,2.4375,616.666.666.666.667,814.166.666.666.667,101.127.916.666.667,95.5,170.125,18.9,15.5,0,122,76372,159.744.408.945.687,0.54,NA,22.12,62.17,95.62,23.58,25.21,NA,1
66,2011-11-21,243.333.333.333.333,53.75,782.083.333.333.333,10.069.875,527.916.666.666.667,161.125,18.1,14.6,9.5,1463,710083,206.032.252.567.658,0.8,NA,54.38,75.75,158.33,15.42,28.67,NA,1.42
67,2011-11-22,3.025,545.416.666.666.667,710.833.333.333.333,1.007.275,418.333.333.333.333,164.666.666.666.667,17.4,14.9,0.4,1061,526459,201.535.162.282.343,0.57,NA,34.5,64.46,116.88,23.96,28.04,NA,1
68,2011-11-23,124.583.333.333.333,194.958.333.333.333,595.416.666.666.667,101.632.083.333.333,112.916.666.666.667,169.458.333.333.333,20.4,14,0,1052,538174,195.475.812.655.387,0.83,NA,90,76.33,213.5,10.38,37.04,NA,1.96
69,2011-11-24,970.833.333.333.334,133.25,716.666.666.666.667,10.227.375,110.458.333.333.333,152.583.333.333.333,17.9,12.6,0,1032,528611,195.228.627.478.429,1.38,NA,141.13,88.13,303.52,7.54,46.75,NA,2.79
70,2011-11-25,991.666.666.666.667,173.5,71.875,102.448.333.333.333,106.958.333.333.333,14.7,17.7,12.1,0,968,488414,198.192.517.004.017,1.19,NA,133.83,90.54,294.75,3.75,51.38,NA,2.71
71,2011-11-26,114.583.333.333.333,169.791.666.666.667,62.125,102.458.333.333.333,114.958.333.333.333,138.208.333.333.333,17.2,11,0,231,129736,178.053.894.061.787,0.58,NA,51.96,55.71,134.5,9.88,23.5,NA,01.04
72,2011-11-27,1.45,676.666.666.666.667,70.875,102.278.333.333.333,76.25,135.833.333.333.333,16.6,10.9,0,113,82983,136.172.469.059.928,0.69,NA,54.83,65.54,148.88,14.58,29.71,NA,01.04
73,2011-11-28,156.666.666.666.667,52.5,73.875,101.997.083.333.333,638.333.333.333.333,138.416.666.666.667,16.1,11.9,0,1705,779792,21.864.804.973.634,1.12,NA,82.29,78.71,203.92,9.38,37.88,NA,1.38
74,2011-11-29,1.3125,174,64.5,101.921.666.666.667,890.833.333.333.333,161.625,19.8,13.7,0,1337,649969,205.702.118.101.017,0.89,NA,83.08,80.79,207.58,09.08,39.83,NA,01.04
75,2011-11-30,125.833.333.333.333,203.583.333.333.333,652.916.666.666.667,1.022.775,101.458.333.333.333,14.6,17.6,11.6,0,1245,608769,204.511.070.701.695,0.97,NA,90.62,81.71,219.88,9.67,41.04,NA,1.46
76,2011-12-01,2,244.041.666.666.667,73.375,1020.65,101.25,145.125,17.9,11.7,0,1164,577448,201.576.592.177.997,0.85,NA,65.79,69.62,170,11.96,40.46,NA,1.12
77,2011-12-02,1.2875,197.791.666.666.667,65.125,10.129.625,78.125,157.625,19,13.9,0,1126,516125,218.164.204.407.847,0.95,NA,65.21,74,173.42,13.21,39.45,NA,1.17
78,2011-12-03,248.333.333.333.333,273.166.666.666.667,587.916.666.666.667,101.805.833.333.333,870.416.666.666.667,13.8,15.8,12.1,0,255,168559,151.282.340.308.141,0.42,NA,27.08,44.08,85.25,14,21.62,NA,1
79,2011-12-04,281.666.666.666.667,294.625,577.916.666.666.667,101.579.583.333.333,101.833.333.333.333,135.291.666.666.667,16.4,11.9,0,128,92536,138.324.543.961.269,0.24,NA,12.29,33.25,51.5,25.75,14.96,NA,01.04
80,2011-12-05,2.3875,234.083.333.333.333,612.083.333.333.333,101.284.583.333.333,102.375,139.791.666.666.667,17.9,10.4,0,1496,683219,218.963.465.594.487,0.63,NA,35,49.5,102.71,17.71,19.83,NA,1.54
81,2011-12-06,173.333.333.333.333,283.75,588.333.333.333.333,101.681.666.666.667,104.875,140.458.333.333.333,17.4,11.2,0,145,102096,142.023.193.856.762,0.51,NA,20.54,45.12,76.25,21.62,18.92,NA,01.04
82,2011-12-07,215.416.666.666.667,306.625,58,102.209.583.333.333,104.916.666.666.667,135.833.333.333.333,16.9,11.2,0,1427,657906,216.900.286.667.092,0.6,NA,29.25,50.58,95.12,19.71,21.5,NA,1.25
83,2011-12-08,135.416.666.666.667,210.625,68.625,102.302.083.333.333,975.416.666.666.667,139.916.666.666.667,17.1,11.6,0,118,81089,145.519.120.965.852,0.57,NA,31.38,50.25,98.04,17.12,21.92,NA,1
84,2011-12-09,1.125,219.291.666.666.667,68.125,1.018.225,79.75,132.708.333.333.333,16.1,9.9,0,1272,627872,202.589.062.738.902,0.9,NA,100.67,69.58,223.29,10.83,37.17,NA,1.79
85,2011-12-10,129.166.666.666.667,257.583.333.333.333,63.625,101.363.333.333.333,881.666.666.666.667,127.833.333.333.333,15.5,10.8,0,237,163146,145.268.655.069.692,0.43,NA,15.92,42.33,66.29,14.96,20.79,NA,1
86,2011-12-11,1.2,212.666.666.666.667,668.333.333.333.333,101.252.916.666.667,839.583.333.333.333,11.525,14.6,8.5,0,145,108084,13.415.491.654.639,0.68,NA,60.75,55.29,147.75,6.54,28.33,NA,2.96
87,2011-12-12,2.1,289.375,62,101.557.083.333.333,100.291.666.666.667,119.166.666.666.667,16.9,8.4,0,1761,852621,206.539.599.657.996,0.58,NA,41.58,45.5,108.83,10.33,21.46,NA,1
88,2011-12-13,262.083.333.333.333,269.708.333.333.333,564.166.666.666.667,10.140.125,868.333.333.333.333,133.416.666.666.667,16.9,10.2,0,1300,674247,192.807.680.271.473,0.69,NA,60,62.38,153.71,11.38,27.54,NA,1.21
89,2011-12-14,198.333.333.333.333,215.166.666.666.667,577.916.666.666.667,101.352.916.666.667,827.083.333.333.333,156.291.666.666.667,19.7,13.2,0,1205,665515,181.062.785.962.751,0.78,NA,51.25,61.92,139.83,16.04,27.71,NA,1.38
90,2011-12-15,319.583.333.333.333,270.916.666.666.667,509.583.333.333.333,101.878.333.333.333,865.416.666.666.667,135.625,16.1,12.2,0,1096,610242,179.600.879.651.024,0.75,NA,27.05,57.35,98.35,20.64,19.55,NA,1
91,2011-12-16,4.95,279.541.666.666.667,484.583.333.333.333,100.760.833.333.333,529.583.333.333.333,146.875,17.7,12,0,1052,572096,183.885.222.060.633,0.54,NA,20.04,49.12,79.42,25.38,25.67,NA,1
92,2011-12-17,585.833.333.333.333,311.25,52,101.005.833.333.333,105.041.666.666.667,107.166.666.666.667,13.6,8.9,0,223,161173,138.360.643.532.105,0.44,NA,29.21,40.12,84.21,36.33,19.33,NA,1
93,2011-12-18,2.275,245.791.666.666.667,407.916.666.666.667,101.363.333.333.333,104.541.666.666.667,9.8625,13.6,7.2,0,110,75248,146.183.287.263.449,0.3,NA,20.13,44.87,75.17,27.3,12.48,NA,1
94,2011-12-19,197.083.333.333.333,262.75,430.416.666.666.667,101.843.333.333.333,792.083.333.333.333,9.1375,11.9,6.6,0,1549,780298,198.513.901.099.324,0.6,NA,52.62,58.17,138.29,22.17,22.62,NA,1.46
95,2011-12-20,254.583.333.333.333,248.75,611.666.666.666.667,101.610.833.333.333,700.833.333.333.333,10.7875,14.1,7.2,0,1222,661136,184.833.377.701.411,0.71,NA,51.67,59.5,138.29,13.71,24.75,NA,1.29
96,2011-12-21,966.666.666.666.667,130.708.333.333.333,694.166.666.666.667,101.680.833.333.333,557.916.666.666.667,127.166.666.666.667,15.8,9.7,0,1120,626043,178.901.449.261.472,1.61,NA,163.78,91.83,342.09,6.59,43.52,NA,03.09
97,2011-12-22,1.9,270.541.666.666.667,550.833.333.333.333,1019.9,92.625,154.541.666.666.667,18.4,13.1,0,968,562793,171.999.296.366.515,1.16,NA,61.29,65.54,159.04,14.88,23.42,NA,01.08
98,2011-12-23,167.083.333.333.333,250.416.666.666.667,579.583.333.333.333,102.019.583.333.333,999.166.666.666.667,13.25,16.9,10.9,0,966,505145,191.232.220.451.554,0.48,NA,32.67,55.08,104.54,12,21.04,NA,01.08
99,2011-12-24,1.8625,270.041.666.666.667,600.416.666.666.667,102.424.583.333.333,83.75,123.833.333.333.333,15.6,9.9,0,223,155141,143.740.210.518.174,0.46,NA,26.62,49.21,89.46,14.67,21.04,NA,1
100,2011-12-25,916.666.666.666.667,182.958.333.333.333,518.333.333.333.333,102.830.833.333.333,101.791.666.666.667,10.9,14.1,8.2,0,115,73334,156.816.756.211.307,0.8,NA,91.42,72,211.54,13.04,30.25,NA,3.42
101,2011-12-26,8.875,135.916.666.666.667,52.25,103.099.583.333.333,989.583.333.333.333,10.7375,13.6,8,0,102,68815,148.223.497.783.913,0.8,NA,91.38,83.29,222.67,8.67,31.08,NA,2.33
102,2011-12-27,186.666.666.666.667,94.125,548.333.333.333.333,102.933.333.333.333,74.25,11.4875,15.9,7.4,0,1386,707218,1.959.791.747.382,1.12,NA,84.76,94.17,270.21,8.17,36.38,NA,3.46
103,2011-12-28,107.083.333.333.333,203.125,55.75,102.648.333.333.333,102.125,11.4,15.2,7.8,0,1121,602697,185.997.275.579.603,0.91,NA,87.92,85.25,219.33,9.5,34.36,NA,2.33
104,2011-12-29,160.416.666.666.667,246.166.666.666.667,529.166.666.666.667,102.364.583.333.333,934.166.666.666.667,11.15,14.4,8.6,0,1228,670541,183.135.706.839.701,0.65,NA,40.58,62.58,124.25,12.46,31.92,NA,1
105,2011-12-30,358.333.333.333.333,284.375,46.875,102.145.833.333.333,101.833.333.333.333,11.3625,15.1,8.2,0,1007,541662,185.909.293.987.764,0.5,NA,27.75,51.38,93.17,25.96,24.75,NA,1
106,2011-12-31,2.35,283.583.333.333.333,55.5,101.979.166.666.667,103.166.666.666.667,136.416.666.666.667,17.3,10.1,0,206,153069,134.579.830.011.302,0.38,NA,16.21,40.04,64.33,27.75,15.71,NA,01.04
107,2012-01-01,129.583.333.333.333,214.708.333.333.333,640.416.666.666.667,10.191.375,100.791.666.666.667,141.458.333.333.333,16.7,11.8,0,118,80462,146.653.078.471.825,0.55,NA,48.5,61.25,135,11.04,21.54,NA,2.54
108,2012-01-02,299.166.666.666.667,253.583.333.333.333,524.166.666.666.667,101.716.666.666.667,972.083.333.333.333,140.916.666.666.667,17.2,11.3,0,1444,795223,181.584.285.162.778,0.5,NA,28.12,51.83,94.5,20.08,24.88,NA,1.29
109,2012-01-03,183.333.333.333.333,289.916.666.666.667,525.416.666.666.667,102.504.583.333.333,941.666.666.666.667,119.333.333.333.333,15.2,9.1,0,1206,718523,167.844.313.960.722,0.62,NA,41,63.91,126.09,13.38,20.87,NA,01.08
110,2012-01-04,205.833.333.333.333,250.375,62.75,1.023.825,90.75,123.208.333.333.333,17.3,8.9,0,1114,646980,172.184.611.579.956,1,NA,61.91,58.27,152.64,11.73,26.71,NA,1.65
111,2012-01-05,3.5625,273.333.333.333.333,475.833.333.333.333,101.655.416.666.667,190.416.666.666.667,131.583.333.333.333,16.6,10.3,0,837,480117,174.332.506.451.552,0.67,NA,54.58,49.04,132,23.83,29.96,NA,1.21
112,2012-01-06,235.833.333.333.333,229.875,616.666.666.666.667,101.695.833.333.333,86.625,140.458.333.333.333,15.8,11.8,0,121,98557,122.771.594.102.905,0.37,NA,26.71,49.21,89.67,24.42,28.67,NA,01.04
113,2012-01-07,1.625,289.166.666.666.667,493.333.333.333.333,1.023.125,107.875,11.725,14.7,8.8,0,285,197910,144.004.850.689.707,0.57,NA,55.08,53.67,137.54,16.92,30.62,NA,1.38
114,2012-01-08,202.916.666.666.667,278.041.666.666.667,592.083.333.333.333,102.146.666.666.667,105.083.333.333.333,115.916.666.666.667,15,9.4,0,141,111291,126.694.880.987.681,0.55,NA,34.04,40.54,92,19.83,18.52,NA,1.17
115,2012-01-09,1.2,194.583.333.333.333,620.416.666.666.667,1.023.525,103.083.333.333.333,11.425,14.8,8.5,0,1481,848692,174.503.824.709.082,0.8,NA,85.42,64.54,194.71,7.67,26.75,NA,2.71
116,2012-01-10,137.083.333.333.333,215.541.666.666.667,665.833.333.333.333,102.608.333.333.333,103,109.541.666.666.667,14,8.3,0,1117,666588,167.569.773.233.242,0.97,NA,127.21,69.92,264.04,5.92,36.79,NA,4.25
117,2012-01-11,979.166.666.666.667,139.583.333.333.333,719.583.333.333.333,1027.75,847.083.333.333.333,11.2125,13.7,8.8,0,1090,668006,163.172.187.076.164,1.3,NA,141.12,83.75,299.21,3.25,42.46,NA,4.88
118,2012-01-12,172.083.333.333.333,272.916.666.666.667,694.583.333.333.333,102.618.333.333.333,96.375,112.708.333.333.333,14.5,8.5,0,1049,621005,168.919.734.945.773,0.67,NA,46.42,67.88,138.54,10.25,29.04,NA,1
119,2012-01-13,111.666.666.666.667,237.666.666.666.667,50.125,1020.45,111.791.666.666.667,103.083.333.333.333,15.5,7.3,0,916,541464,169.170.988.283.616,0.51,NA,35.79,55.54,110.08,9.25,23.75,NA,1
120,2012-01-14,954.166.666.666.667,157.958.333.333.333,64.75,101.555.416.666.667,71,917.083.333.333.333,12.2,6.4,0,207,145443,142.323.796.951.383,0.68,NA,69.33,64.46,170.04,8.75,30.42,NA,1.25
121,2012-01-15,1.2,70.125,699.583.333.333.333,101.317.083.333.333,688.333.333.333.333,9.65,11.4,8.6,0,151,101482,148.794.860.172.247,0.66,NA,36,57.54,112.17,14.88,27.62,NA,01.04
