,date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,no,no2,nox,o3,pm10
33,2011-10-19,549.375,215.270.833.333.333,701.041.666.666.667,970.714.583.333.333,152.020.833.333.333,173.916.666.666.667,22.8,12.7,0,923,480383,192.138.356.269.893,NA,NA,NA,NA,NA
34,2011-10-20,321.666.666.666.667,249.125,572.291.666.666.667,973.266.666.666.667,110.75,137.916.666.666.667,19.5,10.4,0,1049,563991,185.995.875.820.713,NA,NA,NA,NA,NA
35,2011-10-21,302.083.333.333.333,180.645.833.333.333,575.833.333.333.333,972.916.666.666.667,577.083.333.333.333,126.708.333.333.333,15.5,9.5,0,976,497717,196.095.371.466.114,NA,NA,NA,NA,NA
36,2011-10-22,308.958.333.333.333,102.458.333.333.333,775.625,970.610.416.666.667,114.979.166.666.667,1.439.375,19.3,11.3,0,211,144707,145.811.881.940.749,NA,NA,NA,NA,NA
37,2011-10-23,214.166.666.666.667,1.916.875,83,966.645.833.333.333,585.208.333.333.333,146.083.333.333.333,17.1,13.5,3.5,87,61648,141.123.799.636.647,NA,NA,NA,NA,NA
38,2011-10-24,314.583.333.333.333,187.25,879.583.333.333.333,956.364.583.333.333,56.875,147.979.166.666.667,18,13.3,45.1,1348,669851,201.238.782.953.224,NA,NA,NA,NA,NA
39,2011-10-25,435.625,283.875,576.458.333.333.333,9.575.875,170.770.833.333.333,1.419.375,18.1,11.9,0.1,1080,543482,198.718.632.815.806,NA,NA,NA,NA,NA
40,2011-10-26,4.625,250.354.166.666.667,463.333.333.333.333,965.747.916.666.667,155.791.666.666.667,142.604.166.666.667,19.8,10.7,0,1064,572137,185.969.444.381.328,NA,NA,NA,NA,NA
41,2011-10-27,385.625,181.979.166.666.667,81.75,962.720.833.333.333,19.25,156.270.833.333.333,17.7,13.5,9.6,894,499889,178.839.702.413.936,NA,NA,NA,NA,NA
42,2011-10-28,548.541.666.666.667,47,910.416.666.666.667,96.958.125,441.875,145.520.833.333.333,16,12.8,33.5,834,447345,186.433.289.742.816,NA,NA,NA,NA,NA
